timestamp,user_id,ip_address,latitude,longitude,country,city,user_agent,login_status,threat_type
2024-10-01 00:00:00,USR-1310,96.180.185.0,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; apn-IN) AppleWebKit/531.49.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6531.49.3",Success,None
2024-10-01 00:16:00,USR-0458,53.244.251.24,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.1),Success,None
2024-10-01 01:04:00,USR-1828,159.3.151.151,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.1),Success,None
2024-10-01 01:07:00,USR-0062,91.143.218.14,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (Windows NT 6.2; ts-ZA; rv:1.9.1.20) Gecko/5295-01-12 07:51:24 Firefox/12.0,Success,None
2024-10-01 01:46:00,USR-0055,92.99.83.65,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Linux; Android 3.2.6) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/40.0.857.0 Safari/531.1",Success,None
2024-10-01 02:31:00,USR-1117,219.241.132.147,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/61.0.813.0 Safari/535.1",Success,None
2024-10-01 02:49:00,USR-1658,171.140.48.82,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Linux; Android 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/63.0.835.0 Safari/535.1",Success,None
2024-10-01 03:00:00,USR-1430,98.20.29.90,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_1; rv:1.9.4.20) Gecko/4496-03-05 05:50:53 Firefox/3.8,Success,None
2024-10-01 03:14:00,USR-1961,76.242.13.8,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; nds-NL) AppleWebKit/532.5.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6532.5.7",Success,None
2024-10-01 03:39:00,USR-0199,90.134.174.167,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/55.0.876.0 Mobile/91Q779 Safari/536.2",Success,None
2024-10-01 03:56:00,USR-1653,167.181.242.25,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (Android 4.0; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0,Success,None
2024-10-01 04:04:00,USR-1993,153.2.142.22,46.67535,5.55575,FR,Lons-le-Saunier,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/63.0.898.0 Safari/533.2",Success,None
2024-10-01 04:23:00,USR-1699,121.184.62.115,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/5.1),Success,None
2024-10-01 04:47:00,USR-1183,133.29.238.160,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_1 rv:6.0; sv-FI) AppleWebKit/535.35.4 (KHTML, like Gecko) Version/5.1 Safari/535.35.4",Success,None
2024-10-01 05:30:00,USR-0467,151.46.181.4,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.44.7 (KHTML, like Gecko) Version/4.0.4 Safari/531.44.7",Failed,None
2024-10-01 06:25:00,USR-0477,76.43.249.132,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/23.0.886.0 Safari/536.1",Success,None
2024-10-01 06:55:00,USR-1302,30.108.250.88,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:5.0; nso-ZA) AppleWebKit/533.3.1 (KHTML, like Gecko) Version/4.0.2 Safari/533.3.1",Success,None
2024-10-01 07:18:00,USR-0430,13.172.178.135,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/4.1),Success,None
2024-10-01 08:02:00,USR-1328,95.231.2.240,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0; rv:1.9.5.20) Gecko/8223-03-24 20:55:26 Firefox/3.8,Success,None
2024-10-01 08:37:00,USR-1494,172.229.232.125,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/5.0),Success,None
2024-10-01 08:55:00,USR-1896,208.24.90.197,3.139,101.6869,Malaysia,Kuala Lumpur,Opera/8.41.(X11; Linux i686; bg-BG) Presto/2.9.173 Version/11.00,Success,None
2024-10-01 09:39:00,USR-0665,123.132.214.228,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/62.0.870.0 Safari/536.1",Success,None
2024-10-01 09:54:00,USR-1684,101.217.172.166,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/63.0.862.0 Safari/532.1",Success,None
2024-10-01 10:12:00,USR-0136,106.143.234.118,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0),Success,None
2024-10-01 11:09:00,USR-1471,106.39.63.160,3.139,101.6869,Malaysia,Kuala Lumpur,Opera/8.89.(Windows 98; id-ID) Presto/2.9.176 Version/12.00,Success,None
2024-10-01 11:35:00,USR-1812,148.193.176.101,22.75218,72.68533,IN,Kheda,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/7555-03-29 18:05:07 Firefox/6.0,Success,None
2024-10-01 11:52:00,USR-0286,139.254.4.30,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.49.3 (KHTML, like Gecko) Version/5.0.1 Safari/531.49.3",Success,None
2024-10-01 12:09:00,USR-1530,171.72.148.74,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (Windows NT 4.0; gv-GB; rv:1.9.0.20) Gecko/9929-02-07 11:46:00 Firefox/3.6.20,Success,None
2024-10-01 12:35:00,USR-0742,189.134.197.164,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4 rv:6.0; ayc-PE) AppleWebKit/535.23.6 (KHTML, like Gecko) Version/4.1 Safari/535.23.6",Failed,None
2024-10-01 13:08:00,USR-1011,7.168.132.175,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/5.1),Success,None
2024-10-01 13:16:00,USR-0314,113.39.12.147,3.139,101.6869,Malaysia,Kuala Lumpur,"Mozilla/5.0 (Linux; Android 2.2.1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/19.0.814.0 Safari/536.0",Success,None
2024-10-01 13:44:00,USR-1222,122.125.75.191,3.139,101.6869,Malaysia,Kuala Lumpur,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.0),Success,None
2024-10-01 14:14:00,USR-1084,108.174.249.226,3.139,101.6869,Malaysia,Kuala Lumpur,Opera/9.28.(X11; Linux x86_64; is-IS) Presto/2.9.184 Version/11.00,Success,None
